ID_Aluno,Idade,Horas_Estudo_Semana,Pontuacao_Prova_Final,Aprovado
1,23,7,16,False
2,22,23,63,True
3,18,10,33,False
4,21,17,33,False
5,21,27,76,True
6,19,19,49,False
7,22,9,17,False
8,20,38,95,True
9,24,31,75,True
10,23,21,59,False
11,23,13,23,False
12,22,22,48,False
13,19,24,57,False
14,23,31,68,True
15,20,21,62,True
16,23,15,39,False
17,22,17,43,False
18,18,35,79,True
19,24,15,38,False
20,24,29,64,True
21,20,5,21,False
22,24,11,20,False
23,20,23,54,False
24,22,18,44,False
25,21,29,81,True
26,23,31,78,True
27,22,37,90,True
28,20,11,33,False
29,20,23,54,False
30,18,28,62,True
31,21,21,60,True
32,20,37,83,True
33,19,31,87,True
34,22,23,55,False
35,24,9,19,False
36,19,12,38,False
37,22,8,21,False
38,23,35,88,True
39,21,15,40,False
40,24,22,64,True
41,19,35,94,True
42,18,9,27,False
43,19,7,8,False
44,19,17,37,False
45,23,6,19,False
46,19,13,23,False
47,22,13,40,False
48,24,7,19,False
49,22,13,39,False
50,20,28,61,True
51,22,27,68,True
52,23,32,85,True
53,21,33,89,True
54,22,10,21,False
55,18,6,15,False
56,20,8,22,False
57,21,11,19,False
58,24,18,45,False
59,18,32,74,True
60,24,38,87,True
61,21,23,65,True
62,23,23,62,True
63,19,20,45,False
64,20,38,89,True
65,24,34,86,True
66,23,6,22,False
67,20,20,51,False
68,22,30,75,True
69,22,29,82,True
70,24,38,97,True
71,20,10,30,False
72,18,32,74,True
73,18,33,84,True
74,19,30,68,True
75,24,22,59,False
76,20,34,92,True
77,18,7,14,False
78,21,22,57,False
79,19,10,21,False
80,20,30,79,True
81,21,6,15,False
82,21,19,45,False
83,22,25,58,False
84,22,6,14,False
85,24,18,52,False
86,22,38,100,True
87,24,12,25,False
88,20,6,23,False
89,19,17,41,False
90,19,31,72,True
91,21,5,12,False
92,24,23,59,False
93,23,39,100,True
94,20,39,100,True
95,21,36,85,True
96,23,30,75,True
97,20,37,91,True
98,22,33,92,True
99,22,17,37,False
100,22,6,13,False
101,22,30,69,True
102,23,18,48,False
103,18,13,37,False
104,24,29,67,True
105,19,36,90,True
106,22,21,56,False
107,21,38,90,True
108,21,5,7,False
109,18,14,42,False
110,23,12,24,False
111,21,15,41,False
112,18,34,89,True
113,19,28,75,True
114,20,7,10,False
115,24,33,87,True
116,22,8,16,False
117,24,28,66,True
118,24,39,100,True
119,22,39,100,True
120,18,16,36,False
121,19,12,26,False
122,23,31,68,True
123,21,21,52,False
124,20,7,10,False
125,21,6,14,False
126,21,20,56,False
127,21,18,42,False
128,23,29,64,True
129,19,20,58,False
130,18,32,74,True
131,21,24,63,True
132,18,16,40,False
133,20,6,13,False
134,21,14,37,False
135,21,30,76,True
136,24,25,54,False
137,19,19,45,False
138,20,30,74,True
139,19,22,58,False
140,23,20,59,False
141,19,36,96,True
142,23,26,70,True
143,20,13,32,False
144,19,12,32,False
145,23,18,36,False
146,24,6,5,False
147,22,38,88,True
148,21,16,31,False
149,24,38,93,True
150,21,37,99,True
151,18,8,16,False
152,23,8,19,False
153,22,26,65,True
154,19,30,81,True
155,23,29,80,True
156,20,18,43,False
157,21,21,49,False
158,20,6,10,False
159,19,26,64,True
160,21,15,39,False
161,18,36,95,True
162,18,22,55,False
163,23,29,75,True
164,24,5,10,False
165,19,16,33,False
166,22,18,44,False
167,19,29,68,True
168,20,14,34,False
169,20,33,78,True
170,22,32,87,True
171,23,29,79,True
172,23,6,7,False
173,19,12,21,False
174,18,14,42,False
175,23,11,30,False
176,20,20,52,False
177,20,32,78,True
178,18,35,96,True
179,24,35,91,True
180,18,35,83,True
181,18,19,48,False
182,20,18,47,False
183,18,33,84,True
184,24,36,83,True
185,21,15,46,False
186,22,31,74,True
187,24,33,92,True
188,21,22,61,True
189,21,13,27,False
190,20,8,11,False
191,20,34,84,True
192,20,12,20,False
193,23,26,58,False
194,24,11,19,False
195,18,34,78,True
196,18,10,30,False
197,22,27,71,True
198,20,14,30,False
199,20,14,40,False
200,18,29,66,True
201,20,12,26,False
202,20,39,93,True
203,21,27,71,True
204,18,6,9,False
205,20,6,12,False
206,19,28,61,True
207,21,24,67,True
208,24,9,19,False
209,24,18,43,False
210,19,15,34,False
211,23,24,54,False
212,18,12,30,False
213,19,20,50,False
214,20,23,67,True
215,24,17,47,False
216,18,15,31,False
217,18,15,28,False
218,18,28,62,True
219,19,26,69,True
220,18,25,71,True
221,19,33,83,True
222,20,7,21,False
223,22,5,8,False
224,24,35,89,True
225,22,7,11,False
226,23,10,29,False
227,23,35,91,True
228,24,9,13,False
229,22,17,37,False
230,19,26,68,True
231,22,17,45,False
232,24,17,37,False
233,22,20,56,False
234,23,9,31,False
235,22,13,36,False
236,23,22,47,False
237,21,7,10,False
238,18,16,43,False
239,24,34,76,True
240,18,18,43,False
241,22,24,54,False
